movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
제인 도,154461.0,8.36,6.5,8.01
샷 콜러,140064.0,8.83,6.0,8.48
나인스 라이프,130911.0,0.0,5.33,8.02
내 사랑,154437.0,9.17,6.71,9.17
슈퍼배드 3,132626.0,8.76,5.0,8.69
슈퍼오리: 태양을 지켜라,165021.0,6.12,0.0,5.3
소나기,158181.0,8.42,6.4,7.16
스페셜 포스 : 블러드 마운틴,163058.0,0.0,0.0,7.81
"무현, 두 도시 이야기",152183.0,9.44,6.0,8.68
극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,167035.0,0.0,0.0,8.03
게이봉박두5 : 자유로운 연애중,167102.0,8.53,0.0,8.26
수부라 게이트,146212.0,7.17,6.0,7.49
잃어버린 도시 Z,70627.0,7.06,6.83,7.06
"귀향, 끝나지 않은 이야기",167108.0,9.14,5.0,7.96
"좋아해, 너를",144213.0,8.25,4.5,8.48
명탐정 코난:진홍의 연가,159054.0,8.9,6.0,8.8
군함도,146506.0,7.34,6.17,5.28
베이비 드라이버,143402.0,8.41,7.67,8.01
몬스터 콜,125401.0,8.59,6.88,8.57
오늘의 키라군,160372.0,0.0,5.0,8.81
박열,155716.0,8.48,6.7,8.09
임금님의 사건수첩,144280.0,8.05,5.63,7.72
가디언즈 오브 갤럭시 VOL. 2,127398.0,9.05,6.25,8.93
분노의 질주: 더 익스트림,140731.0,9.18,6.0,8.97
보안관,146524.0,8.26,5.89,7.89
에이리언: 커버넌트,99715.0,8.19,7.11,8.13
아빠는 딸,143473.0,8.56,4.0,8.07
보스 베이비,129094.0,8.84,5.2,8.67
"서서평, 천천히 평온하게",160135.0,9.41,5.5,9.21
더 플랜,162471.0,9.82,6.5,8.86
스머프: 비밀의 숲,118966.0,8.61,7.0,8.58
콜로설,143499.0,7.5,5.8,5.19
골드,143379.0,8.6,5.75,8.6
나는 부정한다,144984.0,8.53,6.14,8.48
원라인,142699.0,8.68,5.71,8.17
겟 아웃,156083.0,8.44,7.14,8.24
극장판 쿠로코의 농구 라스트 게임,156185.0,9.55,0.0,9.16
목소리의 형태,153964.0,8.74,7.6,8.42
캐리비안의 해적: 죽은 자는 말이 없다,82473.0,8.58,5.2,8.29
오두막,125447.0,9.13,4.0,8.55
히든 피겨스,147092.0,9.36,6.75,9.35
언노운 걸,150372.0,8.17,7.0,7.87
보통사람,152331.0,8.5,5.86,7.95
가디언즈 오브 갤럭시,97857.0,8.64,7.96,8.56
어느날,146544.0,8.32,6.0,7.69
모놀리스,159400.0,8.25,4.25,4.13
파운더,137976.0,8.22,6.78,8.38
슈퍼 빼꼼: 스파이 대작전,94183.0,8.15,4.5,8.36
댄서,153621.0,9.15,6.67,9.13
분노의 질주: 더 세븐,109905.0,9.21,7.08,9.11
리틀 프린세스 소피아: 엘레나와 비밀의 아발로 왕국,161374.0,8.73,0.0,8.69
밤의 해변에서 혼자,156465.0,7.62,7.63,5.66
파워레인져스: 더 비기닝,143490.0,8.01,6.5,7.17
극장판 또봇: 로봇군단의 습격,161847.0,0.0,6.0,9.3
클로저,39723.0,8.68,7.5,8.18
시간위의 집,154214.0,8.36,4.71,7.59
악마는 프라다를 입는다,60484.0,0.0,6.0,8.65
킹 아더 전설의 서막,161283.0,0.0,0.0,0.0
"나의 사랑, 그리스",147896.0,8.84,6.0,8.75
런던 프라이드,126214.0,9.07,6.71,9.03
프로메테우스,85870.0,0.0,7.3,7.71
월요일이 사라졌다,118955.0,8.5,5.25,8.32
남영동1985,95501.0,0.0,8.0,7.21
악녀,155256.0,7.82,5.4,6.95
미이라,120160.0,7.49,5.71,7.24
원더 우먼,125473.0,8.24,6.7,7.69
노무현입니다,162173.0,9.49,6.67,8.93
대립군,149221.0,7.59,6.5,7.29
심야식당2,156091.0,8.8,5.67,8.58
하루,152168.0,7.69,4.6,7.08
트랜스포머: 최후의 기사,123630.0,6.9,2.83,6.3
라이프,152633.0,7.82,5.67,7.22
쇠파리,162229.0,9.57,0.0,5.73
사촌여동생,159523.0,0.0,0.0,8.21
용순,154508.0,8.04,5.67,6.81
나의 붉은 고래,152309.0,7.59,5.5,5.82
킹 오브 프리즘 프라이드 더 히어로,164290.0,9.83,0.0,9.22
꿈의 제인,154980.0,8.88,7.0,8.6
