rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
3,3,0,OLD,20172742,범죄도시,2017-10-03,289152000,15.1,-531590200,-64.8,52460644911,37951,-56930,-60,6406949,547,2079,2017-11-06
4,4,0,OLD,20169643,침묵,2017-11-02,248753800,13.0,-455044400,-64.7,2704859264,33631,-50874,-60.2,336278,589,2429,2017-11-06
5,5,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,70666100,3.7,-165383300,-70.1,2810165800,8995,-18997,-67.9,354542,177,582,2017-11-06
6,6,0,OLD,20173724,직쏘,2017-11-02,64945900,3.4,-105407400,-61.9,743312600,7961,-10605,-57.1,84617,157,595,2017-11-06
7,7,0,NEW,20161681,미옥,2017-11-09,16774000,0.9,16774000,100,16899000,2098,2098,100,2123,5,7,2017-11-06
8,8,1,OLD,20070454,원스,2007-09-20,14534600,0.8,-22117000,-60.3,1780178800,1936,-2361,-54.9,257358,129,271,2017-11-06
9,9,2,OLD,20173612,메소드,2017-11-02,12858400,0.7,-10931900,-46,125715800,1707,-1189,-41.1,15568,205,315,2017-11-06
10,10,5,OLD,20173804,배드 지니어스,2017-11-02,8983500,0.5,-7950400,-46.9,90515936,1248,-838,-40.2,11434,181,244,2017-11-06
1,1,1,OLD,20172603,부라더,2017-11-02,460408200,26.5,-57177200,-11,6891905736,62262,-7167,-10.3,863253,831,3919,2017-11-07
2,2,-1,OLD,20175121,토르: 라그나로크,2017-10-25,482385000,27.8,-81604300,-14.5,29914914831,62157,-9150,-12.8,3704504,962,4511,2017-11-07
3,3,0,OLD,20172742,범죄도시,2017-10-03,274367600,15.8,-14784400,-5.1,52735012511,36032,-1919,-5.1,6442981,564,2093,2017-11-07
4,4,0,OLD,20169643,침묵,2017-11-02,231533000,13.4,-17220800,-6.9,2936392264,31370,-2261,-6.7,367648,601,2401,2017-11-07
5,5,0,OLD,20171024,너의 췌장을 먹고 싶어,2017-10-25,63539400,3.7,-7126700,-10.1,2873705200,8058,-937,-10.4,362600,178,592,2017-11-07
6,6,0,OLD,20173724,직쏘,2017-11-02,53686400,3.1,-11259500,-17.3,796999000,6594,-1367,-17.2,91211,157,584,2017-11-07
7,7,1,OLD,20070454,원스,2007-09-20,14913300,0.9,378700,2.6,1795092100,2042,106,5.5,259400,142,271,2017-11-07
8,8,1,OLD,20173612,메소드,2017-11-02,12289700,0.7,-568700,-4.4,138005500,1586,-121,-7.1,17154,201,305,2017-11-07
9,9,1,OLD,20173804,배드 지니어스,2017-11-02,11316400,0.7,2332900,26,101832336,1575,327,26.2,13009,186,252,2017-11-07
