director,movieCd,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
이창재,20174602,노무현입니다,162173.0,9.49,6.67,8.93
홍상수,20176102,그 후,162956.0,7.99,7.0,6.43
케이트 쇼트랜드,20176511,베를린 신드롬,158864.0,4.8,4.5,6.01
토비 젠켈,20176741,꼬마참새 리차드: 아프리카 원정대,160464.0,8.71,0.0,8.71
데이비드 스토튼,20177202,토마스와 친구들: 수수께끼 해적선과 보물찾기,148994.0,7.88,6.0,7.83
크리스토퍼 놀란,20081056,다크 나이트,62586.0,10.0,8.7,9.33
블라디미르 토로프킨,20177761,오즈: 신기한 마법가루,165029.0,7.58,0.0,7.69
존 건,20176562,예수는 역사다,158910.0,9.04,4.0,7.69
마크 펠링톤,20176781,내가 죽기 전에 가장 듣고 싶은 말,142634.0,0.0,5.33,8.46
존 R. 레오네티,20177701,위시 어폰,154262.0,7.63,3.5,7.19
테렌스 맬릭,20178646,송 투 송,114268.0,5.71,5.0,6.62
팻티 젠킨스,20168261,원더 우먼,125473.0,8.24,6.7,7.69
정윤철,20169348,대립군,149221.0,7.59,6.5,7.29
에스펜 샌버그,20170982,캐리비안의 해적: 죽은 자는 말이 없다,82473.0,8.58,5.2,8.29
조던 필,20175262,겟 아웃,156083.0,8.44,7.14,8.24
라이 루소 영,20174803,7번째 내가 죽던 날,144988.0,8.65,4.67,7.56
미츠나카 스스무,20162629,하이큐!! 끝과 시작,140803.0,9.11,0.0,8.91
츠키카와 쇼,20173642,너와 100번째 사랑,156417.0,8.48,4.67,7.95
야마구치 켄타로,20176141,베이블레이드 버스트 갓 : 갓 발키리의 탄생,163027.0,0.0,0.0,7.46
톰 맥그라스,20174061,보스 베이비,129094.0,8.84,5.2,8.67
다라 오코넬,20174821,바다 탐험대 옥토넛 시즌4: 더 파이널,158266.0,8.3,0.0,8.27
이영준,20175581,파워배틀 와치카: 와치가면의 역습,162933.0,8.49,4.0,8.42
조현훈,20160483,꿈의 제인,154980.0,8.88,7.0,8.6
마츠오카 조지,20173833,심야식당 2,156091.0,8.8,5.67,8.58
타다 슌스케,20175142,극장판 쿠로코의 농구 라스트 게임,156185.0,9.55,0.0,9.16
신준,20168041,용순,154508.0,8.04,5.67,6.81
양선,20175423,나의 붉은고래,152309.0,7.59,5.5,5.82
폴 버호벤,20175662,엘르,147067.0,8.35,8.09,7.79
테레사 스트로젝,20172241,꼬마돼지 베이브의 대모험,159521.0,7.81,0.0,7.63
제임스 폰솔트,20176201,더 서클,143099.0,0.0,3.67,7.05
대런 린 보우즈만,20175982,다크 하우스,141184.0,5.82,2.33,5.44
피터 시걸,20040526,첫키스만 50번째,38227.0,9.21,6.0,9.21
문현성,20161726,임금님의 사건수첩,144280.0,8.05,5.63,7.72
박인제,20162871,특별시민,146485.0,7.74,5.91,7.39
F. 게리 그레이,20167542,분노의 질주: 더 익스트림,140731.0,9.18,6.0,8.97
캘리 애스버리,20161665,스머프: 비밀의 숲,118966.0,8.61,7.0,8.58
고동우,20174165,극장판 또봇: 로봇군단의 습격,161847.0,0.0,6.0,9.3
빌 콘돈,20164721,미녀와 야수,136872.0,8.99,7.0,8.79
김형협,20151227,아빠는 딸,143473.0,8.56,4.0,8.07
홍주연,20173301,"서서평, 천천히 평온하게",160135.0,9.41,5.5,9.21
믹 잭슨,20164829,나는 부정한다,144984.0,8.53,6.14,8.48
스튜어트 하젤딘,20172541,오두막,125447.0,9.13,4.0,8.55
제임스 건,20163603,가디언즈 오브 갤럭시 VOL. 2,127398.0,9.05,6.25,8.93
김형주,20162722,보안관,146524.0,8.26,5.89,7.89
임아론,20173061,슈퍼 빼꼼: 스파이 대작전,94183.0,8.15,4.5,8.36
야마다 나오코,20170321,목소리의 형태,153964.0,8.74,7.6,8.42
정식,20156708,석조저택 살인사건,127346.0,8.22,4.67,7.28
장 피에르 다르덴,20163185,언노운 걸,150372.0,8.17,7.0,7.87
리들리 스콧,20179382,에이리언: 커버넌트,99715.0,8.19,7.11,8.13
가이 리치,20173961,킹 아서: 제왕의 검,127374.0,8.11,5.25,7.78
